Date,Price,Absolute Log Return,"GARCH(1,1) Log Returns","GARCH(1,1) Absolute Log Returns",DD-EWMA Forecasted Volatility,DD-EWMA RMSE,"Corr(Abs Log Return, GARCH Log Returns)","Corr(Abs Log Return, GARCH Abs Log Returns)","Corr(Abs Log Return, DD-EWMA Forecasted Volatility)",Volatility_Absolute_Log_Return,Volatility_GARCH_Log_Returns,Volatility_GARCH_Absolute_Log_Returns,Volatility_DD_EWMA_Forecasted_Volatility
2000-08-31,278.29998779296875,,,,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,N/A,N/A,N/A,N/A
2000-09-30,273.6000061035156,0.017032416612427603,0.034357070874352615,0.02309759266357541,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2000-10-31,264.8999938964844,0.03231483481937136,0.03449580256783998,0.023495797657648972,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2000-11-30,270.1000061035156,0.0194399101586189,0.03624013792498572,0.022213576261154694,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2000-12-31,272.0,0.007009782900183836,0.03536225785695247,0.02255564727641455,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-01-31,265.6000061035156,0.023810625713615252,0.034342344812897635,0.025321722342334787,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-02-28,266.79998779296875,0.004507827705594991,0.035120472663790224,0.02397931768054957,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-03-31,257.8999938964844,0.03392737906688925,0.034147868654007256,0.02675847365950373,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-04-30,264.0,0.023377213925227736,0.0361879254706357,0.02439188839411767,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-05-31,265.29998779296875,0.004912111985197143,0.03552031089112387,0.02341535233189547,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-06-30,270.6000061035156,0.019780523160664032,0.034477814039300524,0.026338154767585213,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-07-31,266.20001220703125,0.016393786474550254,0.03392479292447562,0.025134706029374083,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-08-31,274.3999938964844,0.030338921790970197,0.0340956843222152,0.024876526697880916,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-09-30,292.3999938964844,0.06353583339316948,0.03431208194438549,0.0232004294631346,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Medium volatility,Low volatility,Low volatility,N/A
2001-10-31,279.5,0.04512041440661285,0.03892670957515064,0.02601221138464036,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-11-30,273.8999938964844,0.0202392386098591,0.041433843043246106,0.024405959413484904,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2001-12-31,278.70001220703125,0.01737292430250381,0.0405318714662834,0.023817655670948075,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2002-01-31,282.1000061035156,0.012125661356152229,0.03886759594677939,0.023884305559706116,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2002-02-28,296.70001220703125,0.05045992879549832,0.037328540533904525,0.024912124470726937,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Medium volatility,Low volatility,Low volatility,N/A
2002-03-31,302.6000061035156,0.01969025308504957,0.03910898075933068,0.024352731445078258,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2002-04-30,308.8999938964844,0.020605758641164762,0.037761296957992886,0.023861531503955084,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2002-05-31,326.5,0.05541236855082232,0.036677765714377766,0.023418518476007944,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Medium volatility,Low volatility,Low volatility,N/A
2002-06-30,313.5,0.0406305886435101,0.03932498106191693,0.02428491928208186,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2002-07-31,303.20001220703125,0.033406666044102806,0.041086652204407305,0.022894364747839974,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2002-08-31,312.3999938964844,0.029891704399156005,0.041547824905700914,0.021796537598902474,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2002-09-30,323.8999938964844,0.03615040890542787,0.0403751382899068,0.02119441537417233,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2002-10-31,318.0,0.01838342455327968,0.039910573602605616,0.020697091568841672,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2002-11-30,316.79998779296875,0.0037807613722025124,0.039129282167735153,0.021810276451434577,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2002-12-31,347.6000061035156,0.09278178954228355,0.03766805535047503,0.025769705616482085,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Medium volatility,Low volatility,Low volatility,N/A
2003-01-31,368.29998779296875,0.05784537935650036,0.0471102808630586,0.03665343273792173,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Medium volatility,Low volatility,Medium volatility,N/A
2003-02-28,350.20001220703125,0.05039333559769421,0.047772833189158835,0.03334933591019977,,,0.19638767567640047,0.22771120683424,-0.12197822549439111,Medium volatility,Low volatility,Medium volatility,N/A
2003-03-31,335.8999938964844,0.04169097626145035,0.04904921076042016,0.030004730446486726,0.007111418823333353,0.006340270622280078,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Medium volatility,N/A
2003-04-30,339.1000061035156,0.00948158868314053,0.048935050689374586,0.02686523181595912,0.008443218678472615,0.007137194570718244,0.19638767567640047,0.22771120683424,-0.12197822549439111,Low volatility,Low volatility,Low volatility,N/A
2003-05-31,364.5,0.07223148431795856,0.045877714727846006,0.02728373316973253,0.0071705060601810495,0.007194601454075219,0.19638767567640047,0.22771120683424,-0.12197822549439111,Medium volatility,Low volatility,Low volatility,N/A
2003-06-30,346.0,0.05208777639098816,0.048930197075482615,0.030647396670162093,0.007131004059578172,0.007303002593433839,0.19638767567640047,0.22771120683424,-0.12197822549439111,Medium volatility,Low volatility,Medium volatility,N/A
