Symbol,Frequency,Match_GARCH_Log_Returns,Match_GARCH_Absolute_Log_Returns,Match_DD_EWMA_Forecasted_Volatility
GC=F,D,61.28805208516629,50.50149568889671,0.0
GC=F,W,60.862214708368555,59.171597633136095,0.0
GC=F,M,58.97435897435898,58.24175824175825,0.0
EURUSD=X,D,61.188394276629566,61.14864864864865,0.0
EURUSD=X,W,59.446092977250245,59.74282888229476,0.0
EURUSD=X,M,61.80257510729614,61.80257510729614,0.0
GBPUSD=X,D,59.8731165741475,59.29817605075337,0.0
GBPUSD=X,W,57.5518262586377,56.36722606120435,0.0
GBPUSD=X,M,57.93991416309014,57.93991416309014,0.0
USDJPY=X,D,55.12227362855254,61.03767349636484,0.0
USDJPY=X,W,58.93004115226338,58.93004115226338,0.0
USDJPY=X,M,56.42857142857143,55.00000000000001,0.0
